#fa/C,dNeff
1.000000e+06,3.721823e-01
1.013939e+06,3.653178e-01
1.028073e+06,3.585185e-01
1.042404e+06,3.517856e-01
1.056935e+06,3.451049e-01
1.071668e+06,3.384817e-01
1.086606e+06,3.319278e-01
1.101753e+06,3.254367e-01
1.117111e+06,3.190054e-01
1.132683e+06,3.126702e-01
1.148472e+06,3.064192e-01
1.164481e+06,3.002195e-01
1.180713e+06,2.940886e-01
1.197171e+06,2.880324e-01
1.213859e+06,2.820492e-01
1.230780e+06,2.761438e-01
1.247936e+06,2.703294e-01
1.265332e+06,2.646028e-01
1.282970e+06,2.589644e-01
1.300854e+06,2.533976e-01
1.318987e+06,2.479076e-01
1.337373e+06,2.425138e-01
1.356015e+06,2.372023e-01
1.374917e+06,2.319660e-01
1.394083e+06,2.268208e-01
1.413516e+06,2.217654e-01
1.433219e+06,2.167954e-01
1.453198e+06,2.119126e-01
1.473454e+06,2.071186e-01
1.493993e+06,2.023943e-01
1.514819e+06,1.977435e-01
1.535935e+06,1.931830e-01
1.557345e+06,1.887142e-01
1.579053e+06,1.843410e-01
1.601064e+06,1.800500e-01
1.623382e+06,1.758378e-01
1.646012e+06,1.716928e-01
1.668956e+06,1.676299e-01
1.692220e+06,1.636596e-01
1.715809e+06,1.597617e-01
1.739726e+06,1.559356e-01
1.763977e+06,1.521857e-01
1.788566e+06,1.485181e-01
1.813498e+06,1.449398e-01
1.838777e+06,1.414282e-01
1.864409e+06,1.379842e-01
1.890397e+06,1.346271e-01
1.916748e+06,1.313408e-01
1.943467e+06,1.281135e-01
1.970558e+06,1.249558e-01
1.998026e+06,1.218678e-01
2.025878e+06,1.188509e-01
2.054117e+06,1.159004e-01
2.082751e+06,1.130107e-01
2.111783e+06,1.101950e-01
2.141220e+06,1.074500e-01
2.171068e+06,1.047513e-01
2.201331e+06,1.021105e-01
2.232016e+06,9.953602e-02
2.263130e+06,9.702034e-02
2.294676e+06,9.456278e-02
2.326663e+06,9.217307e-02
2.359095e+06,8.983698e-02
2.391980e+06,8.753871e-02
2.425323e+06,8.529970e-02
2.459130e+06,8.312078e-02
2.493409e+06,8.099260e-02
2.528166e+06,7.891865e-02
2.563407e+06,7.690561e-02
2.599140e+06,7.492673e-02
2.635371e+06,7.298007e-02
2.672106e+06,7.109424e-02
2.709354e+06,6.925914e-02
2.747121e+06,6.746653e-02
2.785414e+06,6.571993e-02
2.824241e+06,6.401818e-02
2.863610e+06,6.235172e-02
2.903527e+06,6.072375e-02
2.944000e+06,5.913712e-02
2.985038e+06,5.759129e-02
3.026648e+06,5.608554e-02
3.068838e+06,5.461905e-02
3.111616e+06,5.319014e-02
3.154990e+06,5.179707e-02
3.198969e+06,5.043813e-02
3.243561e+06,4.911246e-02
3.288774e+06,4.782477e-02
3.334618e+06,4.656800e-02
3.381101e+06,4.532975e-02
3.428231e+06,4.412891e-02
3.476019e+06,4.296837e-02
3.524473e+06,4.182960e-02
3.573602e+06,4.071986e-02
3.623416e+06,3.965228e-02
3.673925e+06,3.860623e-02
3.725137e+06,3.757671e-02
3.777064e+06,3.658200e-02
3.829714e+06,3.561472e-02
3.883098e+06,3.466360e-02
3.937226e+06,3.373642e-02
3.992109e+06,3.283456e-02
4.047757e+06,3.195669e-02
4.104181e+06,3.110417e-02
4.161391e+06,3.028226e-02
4.219398e+06,2.947858e-02
4.278214e+06,2.868903e-02
4.337850e+06,2.792205e-02
4.398317e+06,2.717574e-02
4.459628e+06,2.644759e-02
4.521792e+06,2.573674e-02
4.584824e+06,2.504232e-02
4.648734e+06,2.437495e-02
4.713535e+06,2.372777e-02
4.779239e+06,2.308557e-02
4.845859e+06,2.246104e-02
4.913407e+06,2.185785e-02
4.981898e+06,2.127574e-02
5.051342e+06,2.070947e-02
5.121755e+06,2.014489e-02
5.193150e+06,1.959709e-02
5.265540e+06,1.907157e-02
5.338938e+06,1.855796e-02
5.413360e+06,1.805686e-02
5.488820e+06,1.757171e-02
5.565331e+06,1.709444e-02
5.642908e+06,1.662014e-02
5.721568e+06,1.617490e-02
5.801323e+06,1.575121e-02
5.882190e+06,1.533025e-02
5.964185e+06,1.491821e-02
6.047322e+06,1.451652e-02
6.131619e+06,1.412350e-02
6.217090e+06,1.374013e-02
6.303753e+06,1.337050e-02
6.391624e+06,1.301010e-02
6.480720e+06,1.265637e-02
6.571058e+06,1.231494e-02
6.662655e+06,1.198477e-02
6.755528e+06,1.166404e-02
6.849697e+06,1.134732e-02
6.945178e+06,1.102978e-02
7.041990e+06,1.072791e-02
7.140151e+06,1.043956e-02
7.239681e+06,1.015534e-02
7.340598e+06,9.879722e-03
7.442922e+06,9.614970e-03
7.546673e+06,9.356103e-03
7.651869e+06,9.101886e-03
7.758532e+06,8.846710e-03
7.866682e+06,8.599160e-03
7.976339e+06,8.364453e-03
8.087525e+06,8.141939e-03
8.200261e+06,7.929064e-03
8.314568e+06,7.715649e-03
8.430468e+06,7.505666e-03
8.547985e+06,7.300661e-03
8.667139e+06,7.103178e-03
8.787954e+06,6.911804e-03
8.910453e+06,6.716252e-03
9.034660e+06,6.528300e-03
9.160598e+06,6.357770e-03
9.288292e+06,6.186830e-03
9.417766e+06,6.015651e-03
9.549045e+06,5.856638e-03
9.682153e+06,5.699783e-03
9.817117e+06,5.534788e-03
9.953962e+06,5.385226e-03
1.009272e+07,5.249066e-03
1.023340e+07,5.101332e-03
1.037605e+07,4.955262e-03
1.052069e+07,4.821954e-03
1.066734e+07,4.689357e-03
1.081604e+07,4.558034e-03
1.096681e+07,4.444761e-03
1.111968e+07,4.333647e-03
1.127468e+07,4.207083e-03
1.143184e+07,4.090554e-03
1.159120e+07,3.985186e-03
1.175277e+07,3.876238e-03
1.191660e+07,3.768168e-03
1.208271e+07,3.664729e-03
1.225114e+07,3.562621e-03
1.242191e+07,3.461418e-03
1.259506e+07,3.360461e-03
1.277063e+07,3.262826e-03
1.294865e+07,3.171251e-03
1.312915e+07,3.089413e-03
1.331216e+07,3.015902e-03
1.349772e+07,2.930517e-03
1.368587e+07,2.844880e-03
1.387665e+07,2.774325e-03
1.407008e+07,2.700596e-03
1.426621e+07,2.620943e-03
1.446507e+07,2.548020e-03
1.466671e+07,2.480248e-03
1.487115e+07,2.418560e-03
1.507845e+07,2.354177e-03
1.528864e+07,2.285407e-03
1.550175e+07,2.226532e-03
1.571784e+07,2.170941e-03
1.593694e+07,2.111039e-03
1.615909e+07,2.048149e-03
1.638434e+07,1.982666e-03
1.661273e+07,1.928812e-03
1.684430e+07,1.881411e-03
1.707910e+07,1.836875e-03
1.731717e+07,1.790932e-03
1.755856e+07,1.741959e-03
1.780332e+07,1.692449e-03
1.805149e+07,1.643315e-03
1.830312e+07,1.595861e-03
1.855825e+07,1.552442e-03
1.881694e+07,1.513521e-03
1.907924e+07,1.469052e-03
1.934520e+07,1.424296e-03
1.961486e+07,1.389506e-03
1.988828e+07,1.355959e-03
2.016551e+07,1.321581e-03
2.044661e+07,1.284302e-03
2.073162e+07,1.246467e-03
2.102061e+07,1.213909e-03
2.131362e+07,1.180076e-03
2.161073e+07,1.142536e-03
2.191197e+07,1.112636e-03
2.221741e+07,1.086151e-03
2.252711e+07,1.055926e-03
2.284112e+07,1.024973e-03
2.315951e+07,9.938625e-04
2.348235e+07,9.708522e-04
2.380968e+07,9.503359e-04
2.414157e+07,9.170371e-04
2.447809e+07,8.867787e-04
2.481930e+07,8.651108e-04
2.516527e+07,8.461528e-04
2.551606e+07,8.275579e-04
2.587174e+07,8.007553e-04
2.623238e+07,7.742529e-04
2.659804e+07,7.521201e-04
2.696881e+07,7.288974e-04
2.734474e+07,7.057072e-04
2.772591e+07,6.862039e-04
2.811239e+07,6.673599e-04
2.850426e+07,6.473836e-04
2.890160e+07,6.362794e-04
2.930447e+07,6.284748e-04
2.971296e+07,6.132844e-04
3.012714e+07,5.930013e-04
3.054710e+07,5.675419e-04
3.097291e+07,5.500799e-04
3.140465e+07,5.375588e-04
3.184242e+07,5.260929e-04
3.228628e+07,5.142982e-04
3.273634e+07,5.006225e-04
3.319266e+07,4.879267e-04
3.365535e+07,4.759553e-04
3.412449e+07,4.634672e-04
3.460016e+07,4.501599e-04
3.508247e+07,4.351528e-04
3.557150e+07,4.234215e-04
3.606735e+07,4.137118e-04
3.657011e+07,4.011804e-04
3.707988e+07,3.886961e-04
3.759675e+07,3.778957e-04
3.812083e+07,3.688140e-04
3.865221e+07,3.606677e-04
3.919100e+07,3.494206e-04
3.973730e+07,3.389834e-04
4.029122e+07,3.323131e-04
4.085286e+07,3.213510e-04
4.142232e+07,3.068310e-04
4.199973e+07,3.027920e-04
4.258518e+07,2.985280e-04
4.317880e+07,2.847658e-04
4.378069e+07,2.756752e-04
4.439097e+07,2.702452e-04
4.500975e+07,2.640365e-04
4.563716e+07,2.558153e-04
4.627332e+07,2.403354e-04
4.691835e+07,2.309569e-04
4.757236e+07,2.257984e-04
4.823549e+07,2.194672e-04
4.890787e+07,2.145375e-04
4.958962e+07,2.124550e-04
5.028087e+07,2.081790e-04
5.098176e+07,2.006914e-04
5.169242e+07,1.989197e-04
5.241298e+07,1.971769e-04
5.314359e+07,1.872806e-04
5.388438e+07,1.790855e-04
5.463550e+07,1.738646e-04
5.539709e+07,1.724119e-04
5.616930e+07,1.708848e-04
5.695227e+07,1.600549e-04
5.774615e+07,1.547513e-04
5.855110e+07,1.532955e-04
