#fa/C,dNeff
1.000000e+07,5.646701e-01
1.009272e+07,5.642295e-01
1.018629e+07,5.639419e-01
1.028073e+07,5.639031e-01
1.037605e+07,5.639279e-01
1.047225e+07,5.639445e-01
1.056935e+07,5.638711e-01
1.066734e+07,5.637538e-01
1.076624e+07,5.637383e-01
1.086606e+07,5.637952e-01
1.096681e+07,5.638670e-01
1.106848e+07,5.639524e-01
1.117111e+07,5.640351e-01
1.127468e+07,5.640334e-01
1.137921e+07,5.639040e-01
1.148472e+07,5.637132e-01
1.159120e+07,5.633657e-01
1.169866e+07,5.629644e-01
1.180713e+07,5.628806e-01
1.191660e+07,5.628823e-01
1.202708e+07,5.628858e-01
1.213859e+07,5.629732e-01
1.225114e+07,5.631219e-01
1.236472e+07,5.631320e-01
1.247936e+07,5.629660e-01
1.259506e+07,5.628429e-01
1.271184e+07,5.629027e-01
1.282970e+07,5.630123e-01
1.294865e+07,5.629848e-01
1.306870e+07,5.625825e-01
1.318987e+07,5.622115e-01
1.331216e+07,5.620863e-01
1.343558e+07,5.620056e-01
1.356015e+07,5.619975e-01
1.368587e+07,5.620524e-01
1.381276e+07,5.620954e-01
1.394083e+07,5.619001e-01
1.407008e+07,5.615241e-01
1.420053e+07,5.614564e-01
1.433219e+07,5.617240e-01
1.446507e+07,5.619390e-01
1.459919e+07,5.618190e-01
1.473454e+07,5.615410e-01
1.487115e+07,5.613581e-01
1.500903e+07,5.612288e-01
1.514819e+07,5.611608e-01
1.528864e+07,5.611656e-01
1.543038e+07,5.611855e-01
1.557345e+07,5.612346e-01
1.571784e+07,5.614390e-01
1.586357e+07,5.616023e-01
1.601064e+07,5.613975e-01
1.615909e+07,5.609079e-01
1.630891e+07,5.606080e-01
1.646012e+07,5.604534e-01
1.661273e+07,5.603320e-01
1.676675e+07,5.602184e-01
1.692220e+07,5.601195e-01
1.707910e+07,5.600440e-01
1.723745e+07,5.599900e-01
1.739726e+07,5.599379e-01
1.755856e+07,5.598747e-01
1.772136e+07,5.598039e-01
1.788566e+07,5.597173e-01
1.805149e+07,5.596010e-01
1.821885e+07,5.594778e-01
1.838777e+07,5.593723e-01
1.855825e+07,5.592718e-01
1.873032e+07,5.591518e-01
1.890397e+07,5.589898e-01
1.907924e+07,5.588374e-01
1.925614e+07,5.587445e-01
1.943467e+07,5.586740e-01
1.961486e+07,5.585558e-01
1.979672e+07,5.582679e-01
1.998026e+07,5.580378e-01
2.016551e+07,5.580368e-01
2.035248e+07,5.580616e-01
2.054117e+07,5.580622e-01
2.073162e+07,5.579207e-01
2.092383e+07,5.577273e-01
2.111783e+07,5.575933e-01
2.131362e+07,5.574739e-01
2.151123e+07,5.573541e-01
2.171068e+07,5.572351e-01
2.191197e+07,5.571121e-01
2.211512e+07,5.569763e-01
2.232016e+07,5.568304e-01
2.252711e+07,5.566866e-01
2.273597e+07,5.565479e-01
2.294676e+07,5.564085e-01
2.315951e+07,5.562636e-01
2.337424e+07,5.561150e-01
2.359095e+07,5.559672e-01
2.380968e+07,5.558245e-01
2.403043e+07,5.556767e-01
2.425323e+07,5.555107e-01
2.447809e+07,5.553293e-01
2.470504e+07,5.551455e-01
2.493409e+07,5.549625e-01
2.516527e+07,5.547752e-01
2.539859e+07,5.545806e-01
2.563407e+07,5.543792e-01
2.587174e+07,5.541717e-01
2.611161e+07,5.539585e-01
2.635371e+07,5.537380e-01
2.659804e+07,5.535088e-01
2.684465e+07,5.532708e-01
2.709354e+07,5.530228e-01
2.734474e+07,5.527645e-01
2.759826e+07,5.524946e-01
2.785414e+07,5.522112e-01
2.811239e+07,5.519134e-01
2.837304e+07,5.516033e-01
2.863610e+07,5.512800e-01
2.890160e+07,5.509433e-01
2.916956e+07,5.505935e-01
2.944000e+07,5.502295e-01
2.971296e+07,5.498530e-01
2.998844e+07,5.494670e-01
3.026648e+07,5.490637e-01
3.054710e+07,5.486315e-01
3.083031e+07,5.481700e-01
3.111616e+07,5.476906e-01
3.140465e+07,5.471958e-01
3.169582e+07,5.466807e-01
3.198969e+07,5.461427e-01
3.228628e+07,5.455808e-01
3.258562e+07,5.449911e-01
3.288774e+07,5.443676e-01
3.319266e+07,5.437154e-01
3.350041e+07,5.430427e-01
3.381101e+07,5.423460e-01
3.412449e+07,5.416206e-01
3.444087e+07,5.408638e-01
3.476019e+07,5.400741e-01
3.508247e+07,5.392480e-01
3.540774e+07,5.383827e-01
3.573602e+07,5.374857e-01
3.606735e+07,5.365610e-01
3.640175e+07,5.355992e-01
3.673925e+07,5.345870e-01
3.707988e+07,5.335213e-01
3.742366e+07,5.324217e-01
3.777064e+07,5.312956e-01
3.812083e+07,5.301332e-01
3.847427e+07,5.289297e-01
3.883098e+07,5.276850e-01
3.919100e+07,5.263815e-01
3.955436e+07,5.249950e-01
3.992109e+07,5.235510e-01
4.029122e+07,5.220946e-01
4.066478e+07,5.206189e-01
4.104181e+07,5.190979e-01
4.142232e+07,5.175103e-01
4.180637e+07,5.158783e-01
4.219398e+07,5.142430e-01
4.258518e+07,5.126070e-01
4.298001e+07,5.108886e-01
4.337850e+07,5.090189e-01
4.378069e+07,5.070608e-01
4.418660e+07,5.051087e-01
4.459628e+07,5.031508e-01
4.500975e+07,5.011516e-01
4.542706e+07,4.991002e-01
4.584824e+07,4.969983e-01
4.627332e+07,4.948357e-01
4.670234e+07,4.926090e-01
4.713535e+07,4.903299e-01
4.757236e+07,4.880005e-01
4.801343e+07,4.856193e-01
4.845859e+07,4.831925e-01
4.890787e+07,4.807158e-01
4.936132e+07,4.781976e-01
4.981898e+07,4.756442e-01
5.028087e+07,4.730483e-01
5.074705e+07,4.704040e-01
5.121755e+07,4.677148e-01
5.169242e+07,4.649555e-01
5.217169e+07,4.620815e-01
5.265540e+07,4.591418e-01
5.314359e+07,4.562495e-01
5.363631e+07,4.534099e-01
5.413360e+07,4.505212e-01
5.463550e+07,4.475188e-01
5.514206e+07,4.444466e-01
5.565331e+07,4.413522e-01
5.616930e+07,4.382311e-01
5.669007e+07,4.350759e-01
5.721568e+07,4.318816e-01
5.774615e+07,4.286536e-01
5.828155e+07,4.254068e-01
5.882190e+07,4.221428e-01
5.936727e+07,4.188459e-01
5.991770e+07,4.155030e-01
6.047322e+07,4.121237e-01
6.103390e+07,4.087240e-01
6.159978e+07,4.053024e-01
6.217090e+07,4.018581e-01
6.274732e+07,3.983966e-01
6.332908e+07,3.949110e-01
6.391624e+07,3.913777e-01
6.450884e+07,3.877843e-01
6.510694e+07,3.841866e-01
6.571058e+07,3.806244e-01
6.631981e+07,3.770748e-01
6.693470e+07,3.735221e-01
6.755528e+07,3.699720e-01
6.818162e+07,3.664066e-01
6.881377e+07,3.628122e-01
6.945178e+07,3.591952e-01
7.009570e+07,3.555521e-01
7.074559e+07,3.518724e-01
7.140151e+07,3.481956e-01
7.206351e+07,3.445524e-01
7.273165e+07,3.409270e-01
7.340598e+07,3.373099e-01
7.408657e+07,3.337051e-01
7.477346e+07,3.301006e-01
7.546673e+07,3.264836e-01
