#fa/C,dNeff
1.000000e+06,4.852056e-01
1.009272e+06,4.846679e-01
1.018629e+06,4.841231e-01
1.028073e+06,4.835707e-01
1.037605e+06,4.830093e-01
1.047225e+06,4.824461e-01
1.056935e+06,4.818844e-01
1.066734e+06,4.813225e-01
1.076624e+06,4.807613e-01
1.086606e+06,4.802012e-01
1.096681e+06,4.796393e-01
1.106848e+06,4.790744e-01
1.117111e+06,4.785067e-01
1.127468e+06,4.779339e-01
1.137921e+06,4.773555e-01
1.148472e+06,4.767751e-01
1.159120e+06,4.761953e-01
1.169866e+06,4.756141e-01
1.180713e+06,4.750290e-01
1.191660e+06,4.744400e-01
1.202708e+06,4.738487e-01
1.213859e+06,4.732559e-01
1.225114e+06,4.726614e-01
1.236472e+06,4.720658e-01
1.247936e+06,4.714701e-01
1.259506e+06,4.708698e-01
1.271184e+06,4.702594e-01
1.282970e+06,4.696439e-01
1.294865e+06,4.690332e-01
1.306870e+06,4.684278e-01
1.318987e+06,4.678221e-01
1.331216e+06,4.672143e-01
1.343558e+06,4.666047e-01
1.356015e+06,4.659893e-01
1.368587e+06,4.653675e-01
1.381276e+06,4.647429e-01
1.394083e+06,4.641173e-01
1.407008e+06,4.634898e-01
1.420053e+06,4.628623e-01
1.433219e+06,4.622355e-01
1.446507e+06,4.616052e-01
1.459919e+06,4.609672e-01
1.473454e+06,4.603243e-01
1.487115e+06,4.596818e-01
1.500903e+06,4.590400e-01
1.514819e+06,4.583961e-01
1.528864e+06,4.577482e-01
1.543038e+06,4.570972e-01
1.557345e+06,4.564442e-01
1.571784e+06,4.557896e-01
1.586357e+06,4.551318e-01
1.601064e+06,4.544682e-01
1.615909e+06,4.538007e-01
1.630891e+06,4.531354e-01
1.646012e+06,4.524738e-01
1.661273e+06,4.518098e-01
1.676675e+06,4.511385e-01
1.692220e+06,4.504625e-01
1.707910e+06,4.497860e-01
1.723745e+06,4.491101e-01
1.739726e+06,4.484307e-01
1.755856e+06,4.477437e-01
1.772136e+06,4.470514e-01
1.788566e+06,4.463579e-01
1.805149e+06,4.456637e-01
1.821885e+06,4.449676e-01
1.838777e+06,4.442696e-01
1.855825e+06,4.435696e-01
1.873032e+06,4.428665e-01
1.890397e+06,4.421603e-01
1.907924e+06,4.414513e-01
1.925614e+06,4.407398e-01
1.943467e+06,4.400258e-01
1.961486e+06,4.393096e-01
1.979672e+06,4.385924e-01
1.998026e+06,4.378711e-01
2.016551e+06,4.371417e-01
2.035248e+06,4.364061e-01
2.054117e+06,4.356716e-01
2.073162e+06,4.349406e-01
2.092383e+06,4.342075e-01
2.111783e+06,4.334688e-01
2.131362e+06,4.327256e-01
2.151123e+06,4.319775e-01
2.171068e+06,4.312239e-01
2.191197e+06,4.304660e-01
2.211512e+06,4.297054e-01
2.232016e+06,4.289415e-01
2.252711e+06,4.281700e-01
2.273597e+06,4.273877e-01
2.294676e+06,4.266026e-01
2.315951e+06,4.258237e-01
2.337424e+06,4.250476e-01
2.359095e+06,4.242655e-01
2.380968e+06,4.234762e-01
2.403043e+06,4.226807e-01
2.425323e+06,4.218786e-01
2.447809e+06,4.210701e-01
2.470504e+06,4.202551e-01
2.493409e+06,4.194336e-01
2.516527e+06,4.186057e-01
2.539859e+06,4.177707e-01
2.563407e+06,4.169287e-01
2.587174e+06,4.160842e-01
2.611161e+06,4.152406e-01
2.635371e+06,4.143910e-01
2.659804e+06,4.135281e-01
2.684465e+06,4.126537e-01
2.709354e+06,4.117723e-01
2.734474e+06,4.108845e-01
2.759826e+06,4.099897e-01
2.785414e+06,4.090885e-01
2.811239e+06,4.081806e-01
2.837304e+06,4.072636e-01
2.863610e+06,4.063371e-01
2.890160e+06,4.054005e-01
2.916956e+06,4.044515e-01
2.944000e+06,4.034906e-01
2.971296e+06,4.025204e-01
2.998844e+06,4.015412e-01
3.026648e+06,4.005529e-01
3.054710e+06,3.995564e-01
3.083031e+06,3.985512e-01
3.111616e+06,3.975366e-01
3.140465e+06,3.965158e-01
3.169582e+06,3.954812e-01
3.198969e+06,3.944202e-01
3.228628e+06,3.933345e-01
3.258562e+06,3.922354e-01
3.288774e+06,3.911246e-01
3.319266e+06,3.900020e-01
3.350041e+06,3.888729e-01
3.381101e+06,3.877366e-01
3.412449e+06,3.865813e-01
3.444087e+06,3.854015e-01
3.476019e+06,3.842022e-01
3.508247e+06,3.829874e-01
3.540774e+06,3.817558e-01
3.573602e+06,3.805062e-01
3.606735e+06,3.792354e-01
3.640175e+06,3.779481e-01
3.673925e+06,3.766532e-01
3.707988e+06,3.753497e-01
3.742366e+06,3.740252e-01
3.777064e+06,3.726742e-01
3.812083e+06,3.713005e-01
3.847427e+06,3.699058e-01
3.883098e+06,3.684893e-01
3.919100e+06,3.670500e-01
3.955436e+06,3.655841e-01
3.992109e+06,3.640972e-01
4.029122e+06,3.626014e-01
4.066478e+06,3.610957e-01
4.104181e+06,3.595661e-01
4.142232e+06,3.580040e-01
4.180637e+06,3.564169e-01
4.219398e+06,3.548131e-01
4.258518e+06,3.531912e-01
4.298001e+06,3.515476e-01
4.337850e+06,3.498801e-01
