#fa/C,dNeff
3.162278e+04,3.202081e-01
3.228628e+04,3.197605e-01
3.296371e+04,3.192986e-01
3.365535e+04,3.188235e-01
3.436150e+04,3.183369e-01
3.508247e+04,3.178401e-01
3.581857e+04,3.173345e-01
3.657011e+04,3.168216e-01
3.733742e+04,3.163027e-01
3.812083e+04,3.157792e-01
3.892067e+04,3.152525e-01
3.973730e+04,3.147239e-01
4.057107e+04,3.141949e-01
4.142232e+04,3.136667e-01
4.229144e+04,3.131408e-01
4.317880e+04,3.126183e-01
4.408477e+04,3.121008e-01
4.500975e+04,3.115894e-01
4.595414e+04,3.110855e-01
4.691835e+04,3.105904e-01
4.790278e+04,3.101054e-01
4.890787e+04,3.096318e-01
4.993405e+04,3.091708e-01
5.098176e+04,3.087236e-01
5.205145e+04,3.082917e-01
5.314359e+04,3.078762e-01
5.425864e+04,3.074783e-01
5.539709e+04,3.070994e-01
5.655943e+04,3.067407e-01
5.774615e+04,3.064034e-01
5.895777e+04,3.060887e-01
6.019482e+04,3.058015e-01
6.145782e+04,3.055403e-01
6.274732e+04,3.052972e-01
6.406388e+04,3.050646e-01
6.540806e+04,3.048347e-01
6.678044e+04,3.045999e-01
6.818162e+04,3.043526e-01
6.961220e+04,3.040847e-01
7.107280e+04,3.037571e-01
7.256404e+04,3.033696e-01
7.408657e+04,3.029556e-01
7.564104e+04,3.025484e-01
7.722814e+04,3.021811e-01
7.884853e+04,3.018864e-01
8.050292e+04,3.016973e-01
8.219202e+04,3.016446e-01
8.391656e+04,3.016699e-01
8.567729e+04,3.017283e-01
8.747496e+04,3.018146e-01
8.931035e+04,3.019231e-01
9.118425e+04,3.020486e-01
9.309747e+04,3.021856e-01
9.505083e+04,3.023285e-01
9.704518e+04,3.024759e-01
9.908137e+04,3.026965e-01
1.011603e+05,3.029921e-01
1.032828e+05,3.033285e-01
1.054499e+05,3.036714e-01
1.076624e+05,3.039864e-01
1.099214e+05,3.042390e-01
1.122277e+05,3.043945e-01
1.145825e+05,3.044220e-01
1.169866e+05,3.043466e-01
1.194412e+05,3.041915e-01
1.219473e+05,3.039692e-01
1.245060e+05,3.036922e-01
1.271184e+05,3.033730e-01
1.297856e+05,3.030240e-01
1.325087e+05,3.026576e-01
1.352890e+05,3.022663e-01
1.381276e+05,3.017037e-01
1.410258e+05,3.009844e-01
1.439848e+05,3.001659e-01
1.470059e+05,2.993052e-01
1.500903e+05,2.984586e-01
1.532395e+05,2.976819e-01
1.564548e+05,2.970304e-01
1.597375e+05,2.965325e-01
1.630891e+05,2.960652e-01
1.665110e+05,2.956144e-01
