#fa/C,dNeff
1.000000e+04,2.206518e-01
1.018629e+04,2.197195e-01
1.037605e+04,2.187840e-01
1.056935e+04,2.178406e-01
1.076624e+04,2.168897e-01
1.096681e+04,2.159369e-01
1.117111e+04,2.149797e-01
1.137921e+04,2.140240e-01
1.159120e+04,2.130700e-01
1.180713e+04,2.121117e-01
1.202708e+04,2.111385e-01
1.225114e+04,2.101644e-01
1.247936e+04,2.091890e-01
1.271184e+04,2.082095e-01
1.294865e+04,2.072283e-01
1.318987e+04,2.062544e-01
1.343558e+04,2.052825e-01
1.368587e+04,2.043047e-01
1.394083e+04,2.033179e-01
1.420053e+04,2.023241e-01
1.446507e+04,2.013311e-01
1.473454e+04,2.003637e-01
1.500903e+04,1.993749e-01
1.528864e+04,1.983757e-01
1.557345e+04,1.973812e-01
1.586357e+04,1.963903e-01
1.615909e+04,1.953947e-01
1.646012e+04,1.944025e-01
1.676675e+04,1.934108e-01
1.707910e+04,1.924137e-01
1.739726e+04,1.914076e-01
1.772136e+04,1.904221e-01
1.805149e+04,1.894316e-01
1.838777e+04,1.884372e-01
1.873032e+04,1.874439e-01
1.907924e+04,1.864489e-01
1.943467e+04,1.854543e-01
1.979672e+04,1.844621e-01
2.016551e+04,1.834744e-01
2.054117e+04,1.824893e-01
2.092383e+04,1.814960e-01
2.131362e+04,1.805159e-01
2.171068e+04,1.795293e-01
2.211512e+04,1.785440e-01
2.252711e+04,1.775676e-01
2.294676e+04,1.765789e-01
2.337424e+04,1.756081e-01
2.380968e+04,1.746335e-01
2.425323e+04,1.736587e-01
2.470504e+04,1.726927e-01
2.516527e+04,1.717284e-01
2.563407e+04,1.707670e-01
2.611161e+04,1.698052e-01
2.659804e+04,1.688456e-01
2.709354e+04,1.678912e-01
2.759826e+04,1.669387e-01
2.811239e+04,1.659911e-01
2.863610e+04,1.650452e-01
2.916956e+04,1.641022e-01
2.971296e+04,1.631640e-01
3.026648e+04,1.622273e-01
3.083031e+04,1.613006e-01
3.140465e+04,1.603770e-01
3.198969e+04,1.594545e-01
3.258562e+04,1.585351e-01
3.319266e+04,1.576249e-01
3.381101e+04,1.567150e-01
3.444087e+04,1.558096e-01
3.508247e+04,1.549098e-01
3.573602e+04,1.540143e-01
3.640175e+04,1.531223e-01
3.707988e+04,1.522372e-01
3.777064e+04,1.513561e-01
3.847427e+04,1.504789e-01
3.919100e+04,1.496078e-01
3.992109e+04,1.487408e-01
4.066478e+04,1.478794e-01
4.142232e+04,1.470227e-01
4.219398e+04,1.461710e-01
4.298001e+04,1.453254e-01
4.378069e+04,1.444831e-01
4.459628e+04,1.436481e-01
4.542706e+04,1.428184e-01
4.627332e+04,1.419938e-01
4.713535e+04,1.411756e-01
4.801343e+04,1.403621e-01
4.890787e+04,1.395532e-01
