#fa/C	ma
1.000000e+06	2.676565e+00
1.009272e+06	2.708992e+00
1.018629e+06	2.741812e+00
1.028073e+06	2.775328e+00
1.037605e+06	2.809566e+00
1.047225e+06	2.844226e+00
1.056935e+06	2.879962e+00
1.066734e+06	2.916158e+00
1.076624e+06	2.953137e+00
1.086606e+06	2.990949e+00
1.096681e+06	3.029246e+00
1.106848e+06	3.068701e+00
1.117111e+06	3.108691e+00
1.127468e+06	3.149445e+00
1.137921e+06	3.191021e+00
1.148472e+06	3.233145e+00
1.159120e+06	3.276557e+00
1.169866e+06	3.320587e+00
1.180713e+06	3.365553e+00
1.191660e+06	3.411560e+00
1.202708e+06	3.458196e+00
1.213859e+06	3.506163e+00
1.225114e+06	3.554840e+00
1.236472e+06	3.604424e+00
1.247936e+06	3.655006e+00
1.259506e+06	3.706298e+00
1.271184e+06	3.758889e+00
1.282970e+06	3.812273e+00
1.294865e+06	3.866767e+00
1.306870e+06	3.922535e+00
1.318987e+06	3.979108e+00
1.331216e+06	4.036999e+00
1.343558e+06	4.095783e+00
1.356015e+06	4.155735e+00
1.368587e+06	4.217033e+00
1.381276e+06	4.279236e+00
1.394083e+06	4.342891e+00
1.407008e+06	4.407556e+00
1.420053e+06	4.473449e+00
1.433219e+06	4.540753e+00
1.446507e+06	4.609070e+00
1.459919e+06	4.678977e+00
1.473454e+06	4.750021e+00
1.487115e+06	4.822535e+00
1.500903e+06	4.896825e+00
1.514819e+06	4.972260e+00
1.528864e+06	5.049193e+00
1.543038e+06	5.127371e+00
1.557345e+06	5.206961e+00
1.571784e+06	5.288154e+00
1.586357e+06	5.370614e+00
1.601064e+06	5.454920e+00
1.615909e+06	5.540649e+00
1.630891e+06	5.628061e+00
1.646012e+06	5.717508e+00
1.661273e+06	5.808376e+00
1.676675e+06	5.900931e+00
1.692220e+06	5.995011e+00
1.707910e+06	6.090975e+00
1.723745e+06	6.189281e+00
1.739726e+06	6.289174e+00
1.755856e+06	6.391152e+00
1.772136e+06	6.494890e+00
1.788566e+06	6.600370e+00
1.805149e+06	6.707692e+00
1.821885e+06	6.816758e+00
