#fa/C	ma
1.000000e+06	2.383258e+00
1.013939e+06	2.384434e+00
1.028073e+06	2.385610e+00
1.042404e+06	2.386787e+00
1.056935e+06	2.387965e+00
1.071668e+06	2.389143e+00
1.086606e+06	2.390321e+00
1.101753e+06	2.391501e+00
1.117111e+06	2.392681e+00
1.132683e+06	2.393861e+00
1.148472e+06	2.395042e+00
1.164481e+06	2.396224e+00
1.180713e+06	2.397406e+00
1.197171e+06	2.398589e+00
1.213859e+06	2.399772e+00
1.230780e+06	2.400956e+00
1.247936e+06	2.402141e+00
1.265332e+06	2.403326e+00
1.282970e+06	2.404512e+00
1.300854e+06	2.405698e+00
1.318987e+06	2.406885e+00
1.337373e+06	2.408072e+00
1.356015e+06	2.409261e+00
1.374917e+06	2.410449e+00
1.394083e+06	2.411638e+00
1.413516e+06	2.412828e+00
1.433219e+06	2.414019e+00
1.453198e+06	2.415210e+00
1.473454e+06	2.416401e+00
1.493993e+06	2.417594e+00
1.514819e+06	2.418786e+00
1.535935e+06	2.419980e+00
1.557345e+06	2.421174e+00
1.579053e+06	2.422368e+00
1.601064e+06	2.423563e+00
1.623382e+06	2.424759e+00
1.646012e+06	2.425955e+00
1.668956e+06	2.427152e+00
1.692220e+06	2.428350e+00
1.715809e+06	2.429548e+00
1.739726e+06	2.430746e+00
1.763977e+06	2.431946e+00
1.788566e+06	2.433146e+00
1.813498e+06	2.434346e+00
1.838777e+06	2.435547e+00
1.864409e+06	2.436749e+00
1.890397e+06	2.437951e+00
1.916748e+06	2.439154e+00
1.943467e+06	2.440357e+00
1.970558e+06	2.441561e+00
1.998026e+06	2.442766e+00
2.025878e+06	2.443971e+00
2.054117e+06	2.445177e+00
2.082751e+06	2.446383e+00
2.111783e+06	2.447590e+00
2.141220e+06	2.448798e+00
2.171068e+06	2.450006e+00
2.201331e+06	2.451215e+00
2.232016e+06	2.452424e+00
2.263130e+06	2.453634e+00
2.294676e+06	2.454844e+00
2.326663e+06	2.456056e+00
2.359095e+06	2.457267e+00
