#fa/C	ma
1.000000e+06	1.960559e+00
1.009272e+06	1.962384e+00
1.018629e+06	1.964212e+00
1.028073e+06	1.966073e+00
1.037605e+06	1.967970e+00
1.047225e+06	1.969869e+00
1.056935e+06	1.971768e+00
1.066734e+06	1.973668e+00
1.076624e+06	1.975572e+00
1.086606e+06	1.977479e+00
1.096681e+06	1.979388e+00
1.106848e+06	1.981332e+00
1.117111e+06	1.983278e+00
1.127468e+06	1.985240e+00
1.137921e+06	1.987219e+00
1.148472e+06	1.989200e+00
1.159120e+06	1.991199e+00
1.169866e+06	1.993202e+00
1.180713e+06	1.995213e+00
1.191660e+06	1.997236e+00
1.202708e+06	1.999260e+00
1.213859e+06	2.001308e+00
1.225114e+06	2.003360e+00
1.236472e+06	2.005422e+00
1.247936e+06	2.007496e+00
1.259506e+06	2.009573e+00
1.271184e+06	2.011701e+00
1.282970e+06	2.013836e+00
1.294865e+06	2.015964e+00
1.306870e+06	2.018081e+00
1.318987e+06	2.020201e+00
1.331216e+06	2.022339e+00
1.343558e+06	2.024481e+00
1.356015e+06	2.026644e+00
1.368587e+06	2.028838e+00
1.381276e+06	2.031033e+00
1.394083e+06	2.033248e+00
1.407008e+06	2.035466e+00
1.420053e+06	2.037693e+00
1.433219e+06	2.039932e+00
1.446507e+06	2.042173e+00
1.459919e+06	2.044455e+00
1.473454e+06	2.046745e+00
1.487115e+06	2.049039e+00
1.500903e+06	2.051340e+00
1.514819e+06	2.053642e+00
1.528864e+06	2.055986e+00
1.543038e+06	2.058339e+00
1.557345e+06	2.060701e+00
1.571784e+06	2.063080e+00
1.586357e+06	2.065461e+00
1.601064e+06	2.067872e+00
1.615909e+06	2.070292e+00
1.630891e+06	2.072719e+00
1.646012e+06	2.075158e+00
1.661273e+06	2.077600e+00
1.676675e+06	2.080079e+00
1.692220e+06	2.082569e+00
1.707910e+06	2.085067e+00
1.723745e+06	2.087580e+00
1.739726e+06	2.090096e+00
1.755856e+06	2.092662e+00
1.772136e+06	2.095243e+00
1.788566e+06	2.097834e+00
1.805149e+06	2.100447e+00
1.821885e+06	2.103063e+00
1.838777e+06	2.105704e+00
1.855825e+06	2.108355e+00
1.873032e+06	2.111020e+00
1.890397e+06	2.113718e+00
1.907924e+06	2.116419e+00
1.925614e+06	2.119152e+00
1.943467e+06	2.121896e+00
1.961486e+06	2.124653e+00
1.979672e+06	2.127435e+00
1.998026e+06	2.130222e+00
2.016551e+06	2.133062e+00
2.035248e+06	2.135922e+00
2.054117e+06	2.138790e+00
2.073162e+06	2.141676e+00
2.092383e+06	2.144566e+00
2.111783e+06	2.147509e+00
2.131362e+06	2.150472e+00
2.151123e+06	2.153455e+00
2.171068e+06	2.156487e+00
2.191197e+06	2.159522e+00
2.211512e+06	2.162605e+00
2.232016e+06	2.165706e+00
2.252711e+06	2.168835e+00
2.273597e+06	2.172047e+00
2.294676e+06	2.175263e+00
2.315951e+06	2.178477e+00
2.337424e+06	2.181693e+00
2.359095e+06	2.184933e+00
2.380968e+06	2.188245e+00
2.403043e+06	2.191562e+00
2.425323e+06	2.194959e+00
2.447809e+06	2.198390e+00
2.470504e+06	2.201844e+00
2.493409e+06	2.205372e+00
2.516527e+06	2.208905e+00
2.539859e+06	2.212518e+00
2.563407e+06	2.216169e+00
2.587174e+06	2.219838e+00
2.611161e+06	2.223564e+00
2.635371e+06	2.227296e+00
2.659804e+06	2.231131e+00
2.684465e+06	2.235018e+00
2.709354e+06	2.238932e+00
2.734474e+06	2.242955e+00
2.759826e+06	2.246985e+00
2.785414e+06	2.251093e+00
2.811239e+06	2.255245e+00
2.837304e+06	2.259427e+00
2.863610e+06	2.263741e+00
2.890160e+06	2.268064e+00
2.916956e+06	2.272519e+00
2.944000e+06	2.277050e+00
2.971296e+06	2.281611e+00
2.998844e+06	2.286308e+00
3.026648e+06	2.291014e+00
3.054710e+06	2.295819e+00
3.083031e+06	2.300686e+00
3.111616e+06	2.305586e+00
3.140465e+06	2.310653e+00
3.169582e+06	2.315730e+00
3.198969e+06	2.321018e+00
3.228628e+06	2.326438e+00
3.258562e+06	2.331897e+00
3.288774e+06	2.337569e+00
3.319266e+06	2.343254e+00
3.350041e+06	2.349064e+00
3.381101e+06	2.354958e+00
3.412449e+06	2.360899e+00
3.444087e+06	2.367140e+00
3.476019e+06	2.373397e+00
3.508247e+06	2.379849e+00
3.540774e+06	2.386442e+00
3.573602e+06	2.393081e+00
3.606735e+06	2.400038e+00
3.640175e+06	2.407015e+00
3.673925e+06	2.414147e+00
3.707988e+06	2.421400e+00
3.742366e+06	2.428704e+00
3.777064e+06	2.436419e+00
3.812083e+06	2.444159e+00
3.847427e+06	2.452148e+00
3.883098e+06	2.460337e+00
3.919100e+06	2.468578e+00
3.955436e+06	2.477255e+00
3.992109e+06	2.485963e+00
4.029122e+06	2.494882e+00
4.066478e+06	2.503984e+00
4.104181e+06	2.513140e+00
4.142232e+06	2.522826e+00
4.180637e+06	2.532548e+00
4.219398e+06	2.542548e+00
4.258518e+06	2.552797e+00
4.298001e+06	2.563101e+00
4.337850e+06	2.573940e+00
4.378069e+06	2.584825e+00
4.418660e+06	2.596032e+00
4.459628e+06	2.607544e+00
4.500975e+06	2.619112e+00
4.542706e+06	2.631224e+00
4.584824e+06	2.643391e+00
4.627332e+06	2.655920e+00
4.670234e+06	2.668810e+00
4.713535e+06	2.681763e+00
4.757236e+06	2.695410e+00
4.801343e+06	2.709129e+00
4.845859e+06	2.723179e+00
4.890787e+06	2.737578e+00
4.936132e+06	2.752053e+00
4.981898e+06	2.767308e+00
5.028087e+06	2.782661e+00
5.074705e+06	2.798416e+00
5.121755e+06	2.814613e+00
5.169242e+06	2.830905e+00
5.217169e+06	2.847891e+00
5.265540e+06	2.865001e+00
5.314359e+06	2.882589e+00
5.363631e+06	2.900732e+00
5.413360e+06	2.918989e+00
5.463550e+06	2.938047e+00
5.514206e+06	2.957267e+00
5.565331e+06	2.976936e+00
5.616930e+06	2.997147e+00
5.669007e+06	3.017496e+00
5.721568e+06	3.038754e+00
