#fa/C	ma
3.162278e+04	4.105827e+00
3.228628e+04	4.111443e+00
3.296371e+04	4.117068e+00
3.365535e+04	4.122700e+00
3.436150e+04	4.128340e+00
3.508247e+04	4.133987e+00
3.581857e+04	4.139642e+00
3.657011e+04	4.145305e+00
3.733742e+04	4.150976e+00
3.812083e+04	4.156655e+00
3.892067e+04	4.162341e+00
3.973730e+04	4.168035e+00
4.057107e+04	4.173737e+00
4.142232e+04	4.179446e+00
4.229144e+04	4.185164e+00
4.317880e+04	4.190889e+00
4.408477e+04	4.196622e+00
4.500975e+04	4.202363e+00
4.595414e+04	4.208112e+00
4.691835e+04	4.213868e+00
4.790278e+04	4.219633e+00
4.890787e+04	4.225405e+00
4.993405e+04	4.231185e+00
5.098176e+04	4.236974e+00
5.205145e+04	4.242770e+00
5.314359e+04	4.248574e+00
5.425864e+04	4.254386e+00
5.539709e+04	4.260206e+00
5.655943e+04	4.266034e+00
5.774615e+04	4.271869e+00
5.895777e+04	4.277713e+00
6.019482e+04	4.283565e+00
6.145782e+04	4.289425e+00
6.274732e+04	4.295293e+00
6.406388e+04	4.301169e+00
6.540806e+04	4.307053e+00
6.678044e+04	4.312945e+00
6.818162e+04	4.318845e+00
6.961220e+04	4.324753e+00
7.107280e+04	4.330669e+00
7.256404e+04	4.336593e+00
7.408657e+04	4.342526e+00
7.564104e+04	4.348466e+00
7.722814e+04	4.354415e+00
7.884853e+04	4.360371e+00
8.050292e+04	4.366336e+00
8.219202e+04	4.372309e+00
8.391656e+04	4.378291e+00
8.567729e+04	4.384280e+00
8.747496e+04	4.390278e+00
8.931035e+04	4.396284e+00
9.118425e+04	4.402298e+00
9.309747e+04	4.408320e+00
9.505083e+04	4.414350e+00
9.704518e+04	4.420389e+00
9.908137e+04	4.426436e+00
1.011603e+05	4.432491e+00
1.032828e+05	4.438555e+00
1.054499e+05	4.444627e+00
1.076624e+05	4.450707e+00
1.099214e+05	4.456796e+00
1.122277e+05	4.462892e+00
1.145825e+05	4.468998e+00
