#fa/C	ma
1.000000e+04	4.634572e+00
1.018629e+04	4.645331e+00
1.037605e+04	4.656115e+00
1.056935e+04	4.666924e+00
1.076624e+04	4.677758e+00
1.096681e+04	4.688617e+00
1.117111e+04	4.699501e+00
1.137921e+04	4.710411e+00
1.159120e+04	4.721346e+00
1.180713e+04	4.732306e+00
1.202708e+04	4.743292e+00
1.225114e+04	4.754303e+00
1.247936e+04	4.765340e+00
1.271184e+04	4.776402e+00
1.294865e+04	4.787490e+00
1.318987e+04	4.798604e+00
1.343558e+04	4.809744e+00
1.368587e+04	4.820909e+00
1.394083e+04	4.832101e+00
1.420053e+04	4.843318e+00
1.446507e+04	4.854562e+00
1.473454e+04	4.865831e+00
1.500903e+04	4.877127e+00
1.528864e+04	4.888449e+00
1.557345e+04	4.899797e+00
1.586357e+04	4.911172e+00
1.615909e+04	4.922573e+00
1.646012e+04	4.934000e+00
1.676675e+04	4.945454e+00
1.707910e+04	4.956935e+00
1.739726e+04	4.968442e+00
1.772136e+04	4.979976e+00
1.805149e+04	4.991537e+00
1.838777e+04	5.003124e+00
1.873032e+04	5.014739e+00
1.907924e+04	5.026380e+00
1.943467e+04	5.038049e+00
1.979672e+04	5.049744e+00
2.016551e+04	5.061467e+00
2.054117e+04	5.073217e+00
2.092383e+04	5.084994e+00
2.131362e+04	5.096798e+00
2.171068e+04	5.108630e+00
2.211512e+04	5.120490e+00
2.252711e+04	5.132377e+00
2.294676e+04	5.144291e+00
2.337424e+04	5.156233e+00
2.380968e+04	5.168203e+00
2.425323e+04	5.180201e+00
2.470504e+04	5.192226e+00
2.516527e+04	5.204280e+00
2.563407e+04	5.216361e+00
2.611161e+04	5.228471e+00
2.659804e+04	5.240608e+00
2.709354e+04	5.252774e+00
2.759826e+04	5.264968e+00
2.811239e+04	5.277190e+00
2.863610e+04	5.289441e+00
2.916956e+04	5.301720e+00
2.971296e+04	5.314028e+00
3.026648e+04	5.326364e+00
3.083031e+04	5.338729e+00
3.140465e+04	5.351122e+00
3.198969e+04	5.363544e+00
3.258562e+04	5.375996e+00
3.319266e+04	5.388476e+00
3.381101e+04	5.400985e+00
3.444087e+04	5.413523e+00
3.508247e+04	5.426090e+00
3.573602e+04	5.438686e+00
3.640175e+04	5.451312e+00
3.707988e+04	5.463967e+00
3.777064e+04	5.476651e+00
3.847427e+04	5.489365e+00
3.919100e+04	5.502108e+00
3.992109e+04	5.514881e+00
4.066478e+04	5.527683e+00
4.142232e+04	5.540515e+00
4.219398e+04	5.553377e+00
4.298001e+04	5.566269e+00
4.378069e+04	5.579191e+00
4.459628e+04	5.592143e+00
4.542706e+04	5.605124e+00
4.627332e+04	5.618136e+00
4.713535e+04	5.631179e+00
4.801343e+04	5.644251e+00
4.890787e+04	5.657354e+00
4.981898e+04	5.670487e+00
5.074705e+04	5.683651e+00
5.169242e+04	5.696845e+00
5.265540e+04	5.710070e+00
5.363631e+04	5.723325e+00
5.463550e+04	5.736612e+00
5.565331e+04	5.749929e+00
5.669007e+04	5.763277e+00
5.774615e+04	5.776656e+00
5.882190e+04	5.790066e+00
5.991770e+04	5.803508e+00
6.103390e+04	5.816980e+00
6.217090e+04	5.830484e+00
6.332908e+04	5.844019e+00
6.450884e+04	5.857585e+00
6.571058e+04	5.871183e+00
6.693470e+04	5.884813e+00
6.818162e+04	5.898474e+00
6.945178e+04	5.912167e+00
7.074559e+04	5.925892e+00
7.206351e+04	5.939649e+00
7.340598e+04	5.953437e+00
7.477346e+04	5.967258e+00
7.616642e+04	5.981110e+00
7.758532e+04	5.994995e+00
7.903066e+04	6.008912e+00
8.050292e+04	6.022861e+00
8.200261e+04	6.036843e+00
8.353023e+04	6.050857e+00
8.508632e+04	6.064904e+00
8.667139e+04	6.078983e+00
8.828599e+04	6.093095e+00
8.993067e+04	6.107240e+00
9.160598e+04	6.121418e+00
9.331251e+04	6.135628e+00
9.505083e+04	6.149872e+00
9.682153e+04	6.164148e+00
9.862522e+04	6.178458e+00
1.004625e+05	6.192801e+00
1.023340e+05	6.207177e+00
1.042404e+05	6.221586e+00
1.061823e+05	6.236030e+00
1.081604e+05	6.250506e+00
1.101753e+05	6.265016e+00
1.122277e+05	6.279560e+00
1.143184e+05	6.294138e+00
1.164481e+05	6.308749e+00
1.186174e+05	6.323395e+00
1.208271e+05	6.338074e+00
1.230780e+05	6.352787e+00
1.253708e+05	6.367535e+00
1.277063e+05	6.382317e+00
1.300854e+05	6.397133e+00
1.325087e+05	6.411984e+00
1.349772e+05	6.426869e+00
1.374917e+05	6.441788e+00
1.400531e+05	6.456742e+00
1.426621e+05	6.471731e+00
1.453198e+05	6.486755e+00
1.480269e+05	6.501814e+00
1.507845e+05	6.516907e+00
1.535935e+05	6.532036e+00
1.564548e+05	6.547200e+00
1.593694e+05	6.562398e+00
1.623382e+05	6.577633e+00
1.653624e+05	6.592902e+00
1.684430e+05	6.608207e+00
1.715809e+05	6.623548e+00
1.747773e+05	6.638924e+00
1.780332e+05	6.654336e+00
1.813498e+05	6.669783e+00
1.847281e+05	6.685267e+00
1.881694e+05	6.700786e+00
1.916748e+05	6.716342e+00
1.952456e+05	6.731933e+00
1.988828e+05	6.747561e+00
2.025878e+05	6.763225e+00
2.063618e+05	6.778926e+00
2.102061e+05	6.794663e+00
2.141220e+05	6.810436e+00
2.181109e+05	6.826246e+00
2.221741e+05	6.842093e+00
2.263130e+05	6.857976e+00
2.305289e+05	6.873897e+00
2.348235e+05	6.889854e+00
2.391980e+05	6.905848e+00
2.436540e+05	6.921880e+00
2.481930e+05	6.937948e+00
2.528166e+05	6.954054e+00
2.575263e+05	6.970198e+00
2.623238e+05	6.986379e+00
2.672106e+05	7.002597e+00
2.721885e+05	7.018853e+00
2.772591e+05	7.035147e+00
2.824241e+05	7.051479e+00
2.876854e+05	7.067848e+00
2.930447e+05	7.084256e+00
2.985038e+05	7.100702e+00
3.040646e+05	7.117185e+00
3.097291e+05	7.133708e+00
3.154990e+05	7.150268e+00
3.213764e+05	7.166867e+00
3.273634e+05	7.183504e+00
3.334618e+05	7.200180e+00
3.396739e+05	7.216895e+00
3.460016e+05	7.233649e+00
3.524473e+05	7.250441e+00
3.590130e+05	7.267273e+00
3.657011e+05	7.284143e+00
3.725137e+05	7.301053e+00
3.794533e+05	7.318002e+00
3.865221e+05	7.334990e+00
3.937226e+05	7.352018e+00
4.010573e+05	7.369085e+00
4.085286e+05	7.386192e+00
4.161391e+05	7.403339e+00
4.238913e+05	7.420525e+00
4.317880e+05	7.437751e+00
4.398317e+05	7.455018e+00
4.480254e+05	7.472324e+00
4.563716e+05	7.489671e+00
4.648734e+05	7.507057e+00
4.735335e+05	7.524485e+00
4.823549e+05	7.541952e+00
4.913407e+05	7.559460e+00
5.004939e+05	7.577009e+00
5.098176e+05	7.594599e+00
5.193150e+05	7.612229e+00
5.289893e+05	7.629901e+00
5.388438e+05	7.647613e+00
5.488820e+05	7.665366e+00
5.591071e+05	7.683161e+00
5.695227e+05	7.700997e+00
5.801323e+05	7.718874e+00
5.909396e+05	7.736793e+00
6.019482e+05	7.754754e+00
6.131619e+05	7.772756e+00
6.245845e+05	7.790800e+00
6.362198e+05	7.808886e+00
6.480720e+05	7.827014e+00
6.601449e+05	7.845184e+00
6.724427e+05	7.863396e+00
6.849697e+05	7.881650e+00
6.977300e+05	7.899947e+00
7.107280e+05	7.918286e+00
7.239681e+05	7.936668e+00
7.374549e+05	7.955092e+00
7.511929e+05	7.973560e+00
7.651869e+05	7.992070e+00
7.794416e+05	8.010623e+00
7.939618e+05	8.029219e+00
8.087525e+05	8.047858e+00
8.238187e+05	8.066541e+00
8.391656e+05	8.085267e+00
8.547985e+05	8.104036e+00
8.707225e+05	8.122850e+00
8.869432e+05	8.141706e+00
9.034660e+05	8.160607e+00
9.202967e+05	8.179551e+00
9.374409e+05	8.198539e+00
9.549045e+05	8.217572e+00
9.726934e+05	8.236648e+00
9.908137e+05	8.255769e+00
1.009272e+06	8.274934e+00
1.028073e+06	8.293750e+00
1.047225e+06	8.311400e+00
1.066734e+06	8.329583e+00
1.086606e+06	8.347872e+00
1.106848e+06	8.366334e+00
1.127468e+06	8.384634e+00
1.148472e+06	8.401899e+00
1.169866e+06	8.420532e+00
1.191660e+06	8.439156e+00
1.213859e+06	8.457291e+00
1.236472e+06	8.475038e+00
1.259506e+06	8.493319e+00
1.282970e+06	8.511938e+00
1.306870e+06	8.529924e+00
1.331216e+06	8.547595e+00
1.356015e+06	8.565476e+00
1.381276e+06	8.584414e+00
1.407008e+06	8.601927e+00
1.433219e+06	8.619469e+00
1.459919e+06	8.637559e+00
1.487115e+06	8.656148e+00
1.514819e+06	8.674118e+00
1.543038e+06	8.691945e+00
1.571784e+06	8.709978e+00
1.601064e+06	8.728006e+00
1.630891e+06	8.745798e+00
1.661273e+06	8.763149e+00
1.692220e+06	8.781434e+00
1.723745e+06	8.799665e+00
1.755856e+06	8.817727e+00
1.788566e+06	8.835663e+00
1.821885e+06	8.853680e+00
1.855825e+06	8.871165e+00
1.890397e+06	8.889146e+00
1.925614e+06	8.907222e+00
1.961486e+06	8.925029e+00
1.998026e+06	8.943123e+00
2.035248e+06	8.960704e+00
2.073162e+06	8.978536e+00
2.111783e+06	8.996606e+00
2.151123e+06	9.014747e+00
2.191197e+06	9.032777e+00
2.232016e+06	9.051068e+00
2.273597e+06	9.068727e+00
2.315951e+06	9.086270e+00
2.359095e+06	9.104338e+00
2.403043e+06	9.122400e+00
2.447809e+06	9.140619e+00
2.493409e+06	9.158483e+00
2.539859e+06	9.176444e+00
2.587174e+06	9.194955e+00
2.635371e+06	9.212467e+00
2.684465e+06	9.230576e+00
2.734474e+06	9.248928e+00
2.785414e+06	9.267266e+00
2.837304e+06	9.285411e+00
2.890160e+06	9.303757e+00
2.944000e+06	9.321889e+00
2.998844e+06	9.339900e+00
3.054710e+06	9.358016e+00
3.111616e+06	9.376489e+00
3.169582e+06	9.394997e+00
3.228628e+06	9.413267e+00
3.288774e+06	9.431519e+00
3.350041e+06	9.449824e+00
3.412449e+06	9.468202e+00
3.476019e+06	9.486918e+00
3.540774e+06	9.505524e+00
3.606735e+06	9.523661e+00
3.673925e+06	9.541858e+00
3.742366e+06	9.561099e+00
3.812083e+06	9.579582e+00
3.883098e+06	9.598525e+00
3.955436e+06	9.617637e+00
4.029122e+06	9.636542e+00
4.104181e+06	9.654800e+00
4.180637e+06	9.673213e+00
4.258518e+06	9.692043e+00
4.337850e+06	9.711173e+00
4.418660e+06	9.730508e+00
4.500975e+06	9.749959e+00
4.584824e+06	9.768603e+00
4.670234e+06	9.787752e+00
4.757236e+06	9.807118e+00
4.845859e+06	9.826548e+00
4.936132e+06	9.846017e+00
5.028087e+06	9.865955e+00
5.121755e+06	9.885504e+00
5.217169e+06	9.904853e+00
5.314359e+06	9.924563e+00
5.413360e+06	9.945708e+00
5.514206e+06	9.965123e+00
5.616930e+06	9.984884e+00
5.721568e+06	1.000517e+01
5.828155e+06	1.002579e+01
5.936727e+06	1.004609e+01
6.047322e+06	1.006658e+01
6.159978e+06	1.008661e+01
6.274732e+06	1.010671e+01
6.391624e+06	1.012724e+01
6.510694e+06	1.014816e+01
6.631981e+06	1.016937e+01
6.755528e+06	1.019032e+01
6.881377e+06	1.021149e+01
7.009570e+06	1.023310e+01
7.140151e+06	1.025471e+01
7.273165e+06	1.027575e+01
7.408657e+06	1.029689e+01
7.546673e+06	1.031880e+01
7.687260e+06	1.034136e+01
7.830465e+06	1.036231e+01
7.976339e+06	1.038505e+01
8.124930e+06	1.040724e+01
8.276289e+06	1.042930e+01
8.430468e+06	1.045185e+01
8.587519e+06	1.047503e+01
8.747496e+06	1.049811e+01
8.910453e+06	1.052047e+01
9.076446e+06	1.054327e+01
9.245531e+06	1.056722e+01
9.417766e+06	1.059038e+01
9.593209e+06	1.061373e+01
9.771921e+06	1.063742e+01
9.953962e+06	1.066149e+01
1.013939e+07	1.068591e+01
1.032828e+07	1.071044e+01
1.052069e+07	1.073546e+01
1.071668e+07	1.076003e+01
1.091632e+07	1.078505e+01
1.111968e+07	1.081136e+01
1.132683e+07	1.083697e+01
1.153783e+07	1.086281e+01
1.175277e+07	1.088946e+01
1.197171e+07	1.091658e+01
1.219473e+07	1.094379e+01
1.242191e+07	1.097232e+01
1.265332e+07	1.100188e+01
1.288904e+07	1.103192e+01
1.312915e+07	1.106261e+01
1.337373e+07	1.109438e+01
1.362287e+07	1.112784e+01
1.387665e+07	1.116249e+01
1.413516e+07	1.119853e+01
1.439848e+07	1.123644e+01
1.466671e+07	1.127655e+01
1.493993e+07	1.131714e+01
1.521825e+07	1.136116e+01
1.550175e+07	1.140804e+01
